country,chain,name,street,housenumber,postcode,city,address_formatted,osm_type,osm_id,lat,lon,source
Belgium,Albert Heijn,Albert Heijn,Herseltsesteenweg,152,3200,Aarschot,Herseltsesteenweg 152 3200 Aarschot Belgium,way,390151188,51.0001834,4.8338357,OpenStreetMap via Overpass API
Belgium,Albert Heijn,Albert Heijn,Groenplaats,43,2000,Antwerpen,Groenplaats 43 2000 Antwerpen Belgium,node,247308726,51.2183465,4.4015387,OpenStreetMap via Overpass API
Belgium,Albert Heijn,Albert Heijn,Karel Oomsstraat,47,2018,Antwerpen,Karel Oomsstraat 47 2018 Antwerpen Belgium,way,141003823,51.1941544,4.4090134,OpenStreetMap via Overpass API
Belgium,Albert Heijn,Albert Heijn,Offerandestraat,108,2060,Antwerpen,Offerandestraat 108 2060 Antwerpen Belgium,node,4666184982,51.2208863,4.4269814,OpenStreetMap via Overpass API
Belgium,Albert Heijn,Albert Heijn,be-MINE,6,3582,Beringen,be-MINE 6 3582 Beringen Belgium,node,5258110267,51.0678699,5.2248938,OpenStreetMap via Overpass API
Belgium,Albert Heijn,Albert Heijn,Kapelstraat,29;31,8450,Bredene-Bad,Kapelstraat 29;31 8450 Bredene-Bad Belgium,node,3107489350,51.2484111,2.9634215,OpenStreetMap via Overpass API
Belgium,Albert Heijn,Albert Heijn,Sint-Pieterskaai,55,8000,Brugge,Sint-Pieterskaai 55 8000 Brugge Belgium,way,146553995,51.221942,3.2186207,OpenStreetMap via Overpass API
Belgium,Albert Heijn,Albert Heijn,Gaversesteenweg,46,9800,Deinze,Gaversesteenweg 46 9800 Deinze Belgium,node,3557595383,50.9762965,3.5352516,OpenStreetMap via Overpass API
Belgium,Albert Heijn,Albert Heijn,Oude Vest,180,9420,Dendermonde,Oude Vest 180 9420 Dendermonde Belgium,node,8234485333,51.0315516,4.1056111,OpenStreetMap via Overpass API
Belgium,Albert Heijn,Albert Heijn,Herentalsebaan,683,2100,Deurne,Herentalsebaan 683 2100 Deurne Belgium,node,7105616355,51.204003,4.48256,OpenStreetMap via Overpass API
Belgium,Albert Heijn,Albert Heijn,Leuvensesteenweg,108C,3290,Diest,Leuvensesteenweg 108C 3290 Diest Belgium,node,13355851596,50.9749337,5.0436725,OpenStreetMap via Overpass API
Belgium,Albert Heijn,Albert Heijn,Hasseltweg,198,3600,Genk,Hasseltweg 198 3600 Genk Belgium,way,51096104,50.9611151,5.4536877,OpenStreetMap via Overpass API
Belgium,Albert Heijn,Albert Heijn,Rootenstraat,8,3600,Genk,Rootenstraat 8 3600 Genk Belgium,node,8234541878,50.9648478,5.5055588,OpenStreetMap via Overpass API
Belgium,Albert Heijn,Albert Heijn,Korenmarkt,16,9000,Gent,Korenmarkt 16 9000 Gent Belgium,node,3958908761,51.0541597,3.7214061,OpenStreetMap via Overpass API
Belgium,Albert Heijn,Albert Heijn,Ottergemsesteenweg-Zuid,808,9000,Gent,Ottergemsesteenweg-Zuid 808 9000 Gent Belgium,node,2498828925,51.0166291,3.734772,OpenStreetMap via Overpass API
Belgium,Albert Heijn,Albert Heijn,Gentsesteenweg,79,8530,Harelbeke,Gentsesteenweg 79 8530 Harelbeke Belgium,way,239806861,50.8632136,3.3231624,OpenStreetMap via Overpass API
Belgium,Albert Heijn,Albert Heijn,Hasseltsebaan,64,3940,Hechtel-Eksel,Hasseltsebaan 64 3940 Hechtel-Eksel Belgium,way,260958537,51.1201664,5.368379,OpenStreetMap via Overpass API
Belgium,Albert Heijn,Albert Heijn,Kortrijkstraat,114,8770,Ingelmunster,Kortrijkstraat 114 8770 Ingelmunster Belgium,node,8841323220,50.9059,3.2609765,OpenStreetMap via Overpass API
Belgium,Albert Heijn,Albert Heijn,Duinenwater,28,8300,Knokke-Heist,Duinenwater 28 8300 Knokke-Heist Belgium,node,5105102936,51.3389617,3.2829756,OpenStreetMap via Overpass API
Belgium,Albert Heijn,Albert Heijn,Mechelsesteenweg,315,2550,Kontich,Mechelsesteenweg 315 2550 Kontich Belgium,node,10170908693,51.1171367,4.4510677,OpenStreetMap via Overpass API
Belgium,Albert Heijn,Albert Heijn,Schampbergstraat,22B,3511,Kuringen,Schampbergstraat 22B 3511 Kuringen Belgium,node,676401377,50.9386121,5.3036185,OpenStreetMap via Overpass API
Belgium,Albert Heijn,Albert Heijn,Lidostraat,7,3970,Leopoldsburg,Lidostraat 7 3970 Leopoldsburg Belgium,way,223001915,51.1270437,5.2544834,OpenStreetMap via Overpass API
Belgium,Albert Heijn,Albert Heijn,Antwerpsesteenweg,499,2500,Lier,Antwerpsesteenweg 499 2500 Lier Belgium,node,4467087289,51.14878,4.5328144,OpenStreetMap via Overpass API
Belgium,Albert Heijn,Albert Heijn,Zelebaan,19,9420,Lokeren,Zelebaan 19 9420 Lokeren Belgium,node,8234496627,51.094557,4.0094416,OpenStreetMap via Overpass API
Belgium,Albert Heijn,Albert Heijn,Dendermondestraat,15,1785,Merchtem,Dendermondestraat 15 1785 Merchtem Belgium,node,8841326461,50.9611525,4.229444,OpenStreetMap via Overpass API
Belgium,Albert Heijn,Albert Heijn,Molderdijk,49,2400,Mol,Molderdijk 49 2400 Mol Belgium,node,5763729835,51.1816954,5.1219379,OpenStreetMap via Overpass API
Belgium,Albert Heijn,Albert Heijn,Hellevoortstraat,13,2560,Nijlen,Hellevoortstraat 13 2560 Nijlen Belgium,node,12151065291,51.1625388,4.6765732,OpenStreetMap via Overpass API
Belgium,Albert Heijn,Albert Heijn,Torhoutsesteenweg,541,8400,Oostende,Torhoutsesteenweg 541 8400 Oostende Belgium,node,8234431906,51.2065942,2.9039256,OpenStreetMap via Overpass API
Belgium,Albert Heijn,Albert Heijn,Westerring,45,9700,Oudenaarde,Westerring 45 9700 Oudenaarde Belgium,node,10565795421,50.8718761,3.6106664,OpenStreetMap via Overpass API
Belgium,Albert Heijn,Albert Heijn,Liersesteenweg,104,2520,Ranst,Liersesteenweg 104 2520 Ranst Belgium,way,337417780,51.1535368,4.5811144,OpenStreetMap via Overpass API
Belgium,Albert Heijn,Albert Heijn,Koestraat,177,8800,Roeselare,Koestraat 177 8800 Roeselare Belgium,node,8234446295,50.922251,3.1505234,OpenStreetMap via Overpass API
Belgium,Albert Heijn,Albert Heijn,Puitvoetstraat,5,9100,Sint Niklaas,Puitvoetstraat 5 9100 Sint Niklaas Belgium,node,5613243804,51.150093,4.1578073,OpenStreetMap via Overpass API
Belgium,Albert Heijn,Albert Heijn,Tiensesteenweg,168,3800,Sint-Truiden,Tiensesteenweg 168 3800 Sint-Truiden Belgium,node,3836540802,50.8138291,5.1650035,OpenStreetMap via Overpass API
Belgium,Albert Heijn,Albert Heijn,Morettestraat,18,1740,Ternat,Morettestraat 18 1740 Ternat Belgium,node,8841325683,50.8849511,4.1733388,OpenStreetMap via Overpass API
Belgium,Albert Heijn,Albert Heijn,Luikersteenweg,151,3700,Tongeren,Luikersteenweg 151 3700 Tongeren Belgium,node,3540744984,50.7674292,5.4642737,OpenStreetMap via Overpass API
Belgium,Albert Heijn,Albert Heijn,Pand,251-254,8790,Waregem,Pand 251-254 8790 Waregem Belgium,node,9983081575,50.8854457,3.4318462,OpenStreetMap via Overpass API
Belgium,Albert Heijn,Albert Heijn,Corbeillestraat,57,2235,Westmeerbeek,Corbeillestraat 57 2235 Westmeerbeek Belgium,node,7710209763,51.0609695,4.8240324,OpenStreetMap via Overpass API
Belgium,Albert Heijn,Albert Heijn,Turnhoutsebaan,5,2110,Wijnegem,Turnhoutsebaan 5 2110 Wijnegem Belgium,node,7054277787,51.2211447,4.4998026,OpenStreetMap via Overpass API
Belgium,Albert Heijn,Albert Heijn,Hoogstraat,179,1930,Zaventem,Hoogstraat 179 1930 Zaventem Belgium,node,7886413680,50.8819727,4.4658469,OpenStreetMap via Overpass API
Belgium,Albert Heijn,Albert Heijn,Heuveneindeweg,20,3520,Zonhoven,Heuveneindeweg 20 3520 Zonhoven Belgium,node,10031312517,50.9817746,5.3655717,OpenStreetMap via Overpass API
Belgium,Albert Heijn,Albert Heijn,Spelaanstraat,2,9620,Zottegem,Spelaanstraat 2 9620 Zottegem Belgium,node,4921742829,50.8835822,3.8301873,OpenStreetMap via Overpass API
Belgium,Carrefour,Carrefour Express,Molenstraat,66-68,9300,Aalst,Molenstraat 66-68 9300 Aalst Belgium,way,932932366,50.9398248,4.0423903,OpenStreetMap via Overpass API
Belgium,Carrefour,Carrefour Market,Raffelgemstraat,18,9300,Aalst,Raffelgemstraat 18 9300 Aalst Belgium,way,929784336,50.9438236,4.0160674,OpenStreetMap via Overpass API
Belgium,Carrefour,Carrefour Market,Leuvensesteenweg,143,3200,Aarschot,Leuvensesteenweg 143 3200 Aarschot Belgium,way,100287414,50.9806452,4.8217674,OpenStreetMap via Overpass API
Belgium,Carrefour,Carrefour Market,Liersesteenweg,23,3200,Aarschot,Liersesteenweg 23 3200 Aarschot Belgium,way,95850768,50.9999806,4.8318535,OpenStreetMap via Overpass API
Belgium,Carrefour,Carrefour Market,Grootstraat,2,3570,Alken,Grootstraat 2 3570 Alken Belgium,way,226407687,50.8771909,5.3090912,OpenStreetMap via Overpass API
Belgium,Carrefour,Carrefour Market Anderlues,Route de Charleroi,107,6150,Anderlues,Route de Charleroi 107 6150 Anderlues Belgium,node,13203671180,50.4066371,4.2816409,OpenStreetMap via Overpass API
Belgium,Carrefour,Carrefour,Rue Florent Pirotte,18,4430,Ans,Rue Florent Pirotte 18 4430 Ans Belgium,way,38209437,50.6638289,5.5092526,OpenStreetMap via Overpass API
Belgium,Carrefour,Carrefour,Rue Jean Jaurès,33,4430,Ans,Rue Jean Jaurès 33 4430 Ans Belgium,way,53542513,50.6535178,5.5303471,OpenStreetMap via Overpass API
Belgium,Carrefour,Carrefour Express,Kerkstraat,7-11,2060,Antwerpen,Kerkstraat 7-11 2060 Antwerpen Belgium,node,1692255482,51.2177577,4.4283585,OpenStreetMap via Overpass API
Belgium,Carrefour,Carrefour,Marché-aux-Légumes,6,6700,Arlon,Marché-aux-Légumes 6 6700 Arlon Belgium,node,3450436496,49.6840149,5.8129219,OpenStreetMap via Overpass API
Belgium,Carrefour,Carrefour Market,Parc de l'Hydrion,12,6700,Arlon,Parc de l'Hydrion 12 6700 Arlon Belgium,node,3499865693,49.6841204,5.7891084,OpenStreetMap via Overpass API
Belgium,Carrefour,Carrefour,Rue de Clairefontaine,1,6700,Arlon,Rue de Clairefontaine 1 6700 Arlon Belgium,node,7352541584,49.679428,5.8231522,OpenStreetMap via Overpass API
